city1,city2,start,end,carrier_lg
"Des Moines, IA","Los Angeles, CA (Metropolitan Area)",2017-07-01,2018-07-01,AA
"Boise, ID","Spokane, WA",2008-01-01,2016-10-01,WN
"Boise, ID","Spokane, WA",2016-10-01,2017-01-01,AS
"Boise, ID","Spokane, WA",2017-01-01,2017-10-01,WN
"Boise, ID","Spokane, WA",2017-10-01,2018-07-01,AS
"Philadelphia, PA","Pittsburgh, PA",2008-01-01,2009-07-01,WN
"Philadelphia, PA","Pittsburgh, PA",2009-07-01,2011-04-01,US
"Philadelphia, PA","Pittsburgh, PA",2011-04-01,2011-07-01,WN
"Philadelphia, PA","Pittsburgh, PA",2011-07-01,2015-07-01,US
"Philadelphia, PA","Pittsburgh, PA",2015-07-01,2018-07-01,AA
"Chicago, IL","West Palm Beach/Palm Beach, FL",2008-01-01,2008-04-01,AA
"Chicago, IL","West Palm Beach/Palm Beach, FL",2008-04-01,2008-10-01,UA
"Chicago, IL","West Palm Beach/Palm Beach, FL",2008-10-01,2009-07-01,AA
"Chicago, IL","West Palm Beach/Palm Beach, FL",2009-07-01,2009-10-01,DL
"Chicago, IL","West Palm Beach/Palm Beach, FL",2009-10-01,2018-07-01,AA
"Phoenix, AZ","St. Louis, MO",2008-01-01,2018-07-01,WN
"Chicago, IL","Philadelphia, PA",2008-01-01,2008-04-01,UA
"Chicago, IL","Philadelphia, PA",2008-04-01,2009-01-01,US
"Chicago, IL","Philadelphia, PA",2009-01-01,2009-04-01,UA
"Chicago, IL","Philadelphia, PA",2009-04-01,2015-07-01,US
"Chicago, IL","Philadelphia, PA",2015-07-01,2018-07-01,AA
